time,angSpeedX,angSpeedY,angSpeedZ,accelX,accelY,accelZ,magnetX,magnetY,magnetZ,altitude,latitude,longitude,state
3168.09,0.03,-0.01,-0.11,-0.94,-9.89,-0.94,12.36,46.18,-13.06,40.13,0.000000,0.000000,0
3168.31,0.03,-0.02,-0.11,-0.94,-9.41,-0.94,12.45,45.82,-13.27,40.03,0.000000,0.000000,0
3168.52,0.03,-0.02,-0.10,-0.94,-9.41,-1.41,12.45,46.18,-13.37,39.84,0.000000,0.000000,0
3168.73,0.04,-0.02,-0.11,-0.47,-9.41,-0.94,12.45,46.00,-13.16,39.84,0.000000,0.000000,0
3168.94,0.03,-0.02,-0.11,-0.47,-9.41,-1.41,12.36,45.91,-13.37,39.45,0.000000,0.000000,0
3169.16,0.03,-0.01,-0.11,-0.94,-9.41,-0.94,12.09,45.82,-13.37,39.54,0.000000,0.000000,0
3169.37,0.03,-0.01,-0.11,-0.47,-9.41,-0.94,12.36,46.18,-13.27,39.54,0.000000,0.000000,0
3169.58,0.03,-0.02,-0.11,-0.47,-9.41,-1.41,12.55,45.91,-13.47,39.35,0.000000,0.000000,0
3169.80,0.03,-0.01,-0.11,-0.94,-9.41,-0.94,12.45,45.91,-13.37,40.23,0.000000,0.000000,0
3170.01,0.03,-0.02,-0.11,-0.47,-9.89,-0.94,12.36,46.18,-13.47,39.45,0.000000,0.000000,0
3170.22,0.03,-0.01,-0.11,0.00,-9.41,-1.41,12.36,46.27,-13.16,38.86,0.000000,0.000000,0
3170.44,0.03,-0.02,-0.11,-0.94,-9.41,-1.41,12.45,46.27,-13.27,39.74,0.000000,0.000000,0
3170.65,0.04,-0.02,-0.11,-0.94,-9.41,-1.41,12.45,46.18,-13.27,39.74,0.000000,0.000000,0
3170.86,0.03,-0.01,-0.11,-0.94,-9.41,-0.94,12.45,46.09,-13.37,39.54,0.000000,0.000000,0
3171.07,0.04,-0.01,-0.11,-0.47,-9.89,-0.94,12.55,46.09,-13.57,39.64,0.000000,0.000000,0
3171.29,0.03,-0.01,-0.11,-0.47,-9.41,-0.94,12.45,46.09,-13.27,39.64,0.000000,0.000000,0
3171.50,0.03,-0.01,-0.11,-0.47,-9.41,-0.94,12.64,46.18,-13.06,39.64,0.000000,0.000000,0
3171.71,0.03,-0.02,-0.11,-0.47,-9.41,-0.94,11.45,46.36,-13.37,39.64,0.000000,0.000000,0
3171.93,0.03,-0.01,-0.11,-0.94,-9.41,-1.41,12.45,46.18,-13.16,39.45,0.000000,0.000000,0
3172.14,0.04,-0.01,-0.11,-0.47,-9.41,-0.94,12.45,46.00,-13.16,39.74,0.000000,0.000000,0
3172.35,0.03,-0.01,-0.11,-0.94,-9.41,-1.41,11.82,46.18,-13.06,38.67,0.000000,0.000000,0
3172.57,0.03,-0.01,-0.11,-0.94,-9.41,-0.94,12.45,46.09,-13.37,39.06,0.000000,0.000000,0
3172.78,0.03,-0.01,-0.11,-0.47,-8.94,-1.41,12.45,46.18,-12.96,39.16,0.000000,0.000000,0
3172.99,0.03,-0.02,-0.11,-0.47,-9.41,-0.94,12.36,46.18,-13.16,38.86,0.000000,0.000000,0
3173.20,0.03,-0.01,-0.11,-0.94,-9.41,-0.94,12.36,45.73,-13.16,39.16,0.000000,0.000000,0
3173.42,0.03,-0.01,-0.11,-0.47,-8.94,-0.94,12.09,46.09,-13.16,39.54,0.000000,0.000000,0
3173.63,0.03,-0.02,-0.11,-0.94,-9.41,-0.94,12.36,46.09,-13.47,39.54,0.000000,0.000000,0
3173.84,0.04,-0.02,-0.11,-0.47,-9.41,-1.41,12.27,46.09,-13.06,39.45,0.000000,0.000000,0
3174.05,0.03,-0.01,-0.11,-0.94,-9.89,-1.41,12.36,46.09,-13.06,39.45,0.000000,0.000000,0
3174.26,0.03,-0.02,-0.11,-0.94,-9.41,-1.41,12.27,46.00,-13.47,39.45,0.000000,0.000000,0
3174.48,0.04,-0.01,-0.11,-0.47,-9.89,-1.41,12.09,46.00,-13.27,39.35,0.000000,0.000000,0
3174.69,0.03,-0.01,-0.11,-0.94,-9.41,-0.94,12.27,46.27,-13.27,39.25,0.000000,1252.662475,0
3174.90,0.04,-0.01,-0.11,-0.94,-9.41,-0.94,12.27,46.00,-12.96,39.74,0.000000,1252.662475,0
3175.11,0.04,-0.01,-0.11,-0.94,-9.89,-0.94,12.64,46.27,-13.06,39.45,0.000000,1252.662475,0
3175.32,0.04,-0.01,-0.11,-0.94,-9.41,-1.41,12.27,46.09,-13.27,39.16,0.000000,0.000000,0
3175.54,0.04,-0.01,-0.11,-0.47,-9.41,-1.41,12.27,46.27,-13.06,39.84,0.000000,0.000000,0
3175.75,0.04,-0.02,-0.11,-0.47,-9.41,-1.41,12.09,45.82,-12.96,39.45,0.000000,0.000000,0
3175.96,0.03,-0.01,-0.11,-0.94,-9.41,-1.41,12.27,46.00,-13.16,39.84,0.000000,0.000000,0
3176.17,0.03,-0.01,-0.11,-0.94,-9.41,-0.94,12.36,46.09,-13.06,39.45,0.000000,0.000000,0
3176.39,0.03,-0.01,-0.11,-0.47,-8.94,-1.41,12.64,45.91,-13.37,39.25,0.000000,0.000000,0
3176.60,0.04,-0.02,-0.11,-0.94,-9.41,-0.94,12.18,46.00,-13.47,39.45,0.000000,0.000000,0
3176.81,0.04,-0.01,-0.11,-0.94,-9.41,-0.94,12.09,46.27,-13.16,39.35,0.000000,0.000000,0
3177.03,0.03,-0.02,-0.11,-0.94,-9.41,-0.94,12.64,46.09,-13.57,39.54,0.000000,0.000000,0
3177.24,0.03,-0.01,-0.11,-0.94,-9.41,-1.41,12.55,46.36,-13.06,39.93,0.000000,0.000000,0
3177.45,0.03,-0.01,-0.11,-0.94,-8.94,-1.41,12.45,46.09,-13.37,40.23,0.000000,0.000000,0
3177.67,0.03,-0.02,-0.11,-0.94,-8.94,-0.94,12.18,45.91,-13.27,39.35,0.000000,0.000000,0
3177.88,0.04,-0.02,-0.11,-0.47,-9.41,-0.94,12.18,46.09,-13.37,39.74,0.000000,0.000000,0
3178.09,0.03,-0.01,-0.11,-0.47,-9.41,-1.41,12.36,46.18,-13.06,38.96,0.000000,0.000000,0
3178.30,0.03,-0.01,-0.11,-0.94,-9.41,-1.41,12.36,46.09,-13.37,39.45,0.000000,0.000000,0
3178.52,0.03,-0.02,-0.11,-0.47,-9.41,-1.41,12.36,46.27,-13.06,39.64,0.000000,0.000000,0
3178.73,0.04,-0.02,-0.11,-0.47,-9.41,-1.41,12.27,45.91,-13.27,39.06,0.000000,0.000000,0
3178.94,0.03,-0.01,-0.11,-0.47,-9.41,-0.94,12.18,46.00,-12.86,39.84,0.000000,0.000000,0
3179.16,0.03,-0.01,-0.11,-0.47,-9.41,-0.94,12.36,45.91,-13.27,39.25,0.000000,0.000000,0
3179.37,0.03,-0.01,-0.11,-0.94,-9.41,-0.94,12.27,46.18,-13.27,39.25,0.000000,0.000000,0
3179.58,0.03,-0.02,-0.11,-0.47,-9.41,-0.94,12.18,46.27,-13.27,39.35,0.000000,0.000000,0
3179.80,0.04,-0.01,-0.11,-0.94,-9.41,-0.94,12.36,46.00,-13.37,39.74,0.000000,0.000000,0
3180.01,0.04,-0.01,-0.11,-0.94,-9.41,-0.94,12.45,46.18,-13.37,39.54,0.000000,0.000000,0
3180.22,0.04,-0.01,-0.11,-0.94,-9.89,-0.94,11.64,46.45,-13.06,39.45,0.000000,0.000000,0
3180.43,0.04,-0.02,-0.11,-0.94,-9.41,-0.94,12.27,46.18,-13.37,39.25,0.000000,0.000000,0
3180.65,0.03,-0.01,-0.11,-0.94,-9.41,-0.94,12.55,46.09,-13.47,39.45,0.000000,0.000000,0
